priority,organization,canonical_id,canonical_status,canonical_slug,duplicate_id,duplicate_status,duplicate_slug,action,merge_fields,rationale,verification_status
1,Emancipet,464ffcb3-0fc6-46e9-8613-e581d1f31fa9,draft,emancipet-community-support-williamson,01b8f252-fb13-4e2e-89a0-1e19c232304a,archived,emancipet-community-support-travis,merge_and_archive_completed,"service_areas, official source, current contact and access details","One regional mobile veterinary program was split artificially by county.",verified_after_archive
1,Smithville Food Pantry,03df7d5f-d3a9-4b7a-b646-a823f882ca6c,draft,despensa-de-alimentos-de-smithville-smithville-food-pantry,af195d84-6d3f-4d0e-b23e-628f9fd5c21f,archived,smithville-food-pantry-bastrop,archive_completed,"none after canonical correction","Same pantry and current 301 Lee Street location; newer duplicate adds no unique program.",verified_after_archive
1,Smithville Food Pantry,03df7d5f-d3a9-4b7a-b646-a823f882ca6c,draft,despensa-de-alimentos-de-smithville-smithville-food-pantry,2e78983e-6aaf-4d0e-b23e-628f9fd5c21f,archived,smithville-food-pantry-bastrop-2,archive_completed,"none; do not copy outdated address or phone","Same pantry with outdated 107 SW 2nd Avenue address and phone.",verified_after_archive
1,Travis County Family Support Services (Palm Square Office),4d1f40fa-609d-4b0a-adc5-f718f1c0671c,draft,travis-county-family-support-services-palm-square-office-housing-and-financial-assistance,b35f5257-dbc8-4392-a79e-634d45ff7f20,archived,travis-county-family-support-services-palm-square-office-health-and-personal-support-travi,merge_and_archive_completed,"requirements, identification documents, hours","The Social Security wording describes an application document requirement rather than a distinct benefits program.",verified_after_archive
1,Travis County Family Support Services (Palm Square Office),4d1f40fa-609d-4b0a-adc5-f718f1c0671c,draft,travis-county-family-support-services-palm-square-office-housing-and-financial-assistance,f6daf9c2-3ab7-4f6e-a230-55c4d0dc51e1,archived,travis-county-family-support-services-palm-square-office-housing-and-financial-assistance-2,merge_and_archive_completed,"complete financial-assistance description, requirements, documents, hours","Corrective import created a second copy instead of updating the existing financial-assistance resource.",verified_after_archive
1,Travis County Family Support Services (Palm Square Office),4d1f40fa-609d-4b0a-adc5-f718f1c0671c,draft,travis-county-family-support-services-palm-square-office-housing-and-financial-assistance,6a0373df-218e-47c9-9f8d-bf443628b4ec,archived,travis-county-family-support-services-palm-square-office-housing-and-financial-assistance-3,merge_and_archive_completed,"any verified financial-assistance details not already present","Same source material was misnamed and created a third suffixed slug.",verified_after_archive
1,Lone Star Circle of Care,84e753f7-023c-4527-9a6b-1e8e6871f1dc,published,lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care,e9df9255-f85a-4825-82f7-942cbfa80c80,archived,lone-star-circle-of-care-health-and-personal-support-williamson,archive_completed,"none","Draft is semantically corrupt: title says veterinary care while its description is human medical care already represented by published resources.",verified_after_archive
1,The Caring Place,TBD,published,TBD,e08c38bb-68d1-4e33-a13d-5caa34490dc2,archived,the-caring-place-williamson,archive_completed,"none unless a verified field is newer","Generic recent pantry draft overlaps published resources; choose the published canonical only after usage/reference review.",verified_after_archive
1,Round Rock Area Serving Center,TBD,published,TBD,3d145c3f-d4df-4aa3-becc-ae02acd55ac2,archived,round-rock-area-serving-center-round-rock,archive_completed,"none unless a verified field is newer","Generic recent pantry draft overlaps two published resources.",verified_after_archive
1,Hill Country Community Ministries,TBD,published,TBD,0a694ac2-0ba4-49dd-8c00-ed099b63f9fe,archived,hill-country-community-ministries-williamson,archive_completed,"none unless a verified field is newer","Generic recent pantry draft overlaps published resources.",verified_after_archive
