"lookup_id","resource_id","slug","status","organization_name","title_en","original_address","query_street","query_city","query_state","query_zip","provider","lookup_date","census_status","match_type","matched_address","latitude","longitude","classification","reasons"
"1","248e2b4d-7a2c-4427-9773-5cf5d36bbc60","sacred-heart-community-clinic","published","Sacred Heart Community Clinic","Free medical care for uninsured adults","620 Round Rock West Drive, Building 8, Round Rock, TX, 78681","620 Round Rock West Drive","Round Rock","TX","78681","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","620 ROUND ROCK WEST DR, ROUND ROCK, TX, 78681","30.503269391164","-97.688749171204","exact",""
"2","d36aa5a9-9c03-4a98-ad40-e34106f4c6db","williamson-county-childrens-advocacy-center","published","Williamson County Children’s Advocacy Center (WCCAC)","Support for child abuse victims","1811 SE Inner Loop, Georgetown, TX, 78626","1811 SE Inner Loop","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1811 SE INNER LOOP, GEORGETOWN, TX, 78626","30.613853489482","-97.657223463808","exact",""
"3","f7cc7041-2b04-4ec8-a435-dfae78584f85","rock-ride-on-center-georgetown","published","ROCK Ride On Center for Kids","Equine-assisted therapy and support","2050 ROCKride Lane, Georgetown, TX, 78626","2050 ROCKride Lane","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"4","c81ada7a-35f9-4f2c-8282-303c82c3b30c","williamson-county-family-recovery-court","published","Williamson County","Family Recovery Court","405 Martin Luther King Street, Georgetown, TX, 78626","405 Martin Luther King Street","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","405 MARTIN LUTHER KING ST, GEORGETOWN, TX, 78626","30.639860538682","-97.680913263791","exact",""
"5","145067fd-844f-4744-bb56-9d13c420ca50","starry-carver-center-for-families","published","STARRY + Georgetown Health Foundation","STARRY – Carver Center for Families","1200 W. 17th St., Georgetown, TX, 78626","1200 W. 17th St.","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"6","96e32345-c31a-4260-a816-efb412582e88","williamson-county-juvenile-services-mental-health-family-support","published","Williamson County Juvenile Services","Mental health and family support for justice-involved youth","200 Wilco Way, Georgetown, TX, 78626","200 Wilco Way","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"7","36baf425-4bb9-47ad-bc13-101fdfd4fb78","georgetown-project-nest-empowerment-center","published","The Georgetown Project","NEST Empowerment Center","2201 Old Airport Rd., Georgetown, TX, 78628","2201 Old Airport Rd.","Georgetown","TX","78628","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","2201 OLD AIRPORT RD, GEORGETOWN, TX, 78626","30.662546810362","-97.66894192358","needs_review","non_exact_match"
"8","bfa1bda7-274b-42fb-9a1b-3cacab6c0395","the-caring-place","published","The Caring Place","Food and crisis assistance","2000 Railroad Avenue, Programs & Services: 2001 Railroad Avenue, Georgetown, TX, 78626","2000 Railroad Avenue","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2000 RAILROAD AVE, GEORGETOWN, TX, 78626","30.626922320429","-97.684634871524","exact",""
"9","5f5f2227-d772-4fbb-82fd-e81b283f3750","operation-liberty-hill","published","Operation Liberty Hill","Food, clothing, and financial assistance","1401 N. Highway 183, Leander, TX, 78641","1401 N. Highway 183","Leander","TX","78641","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","1401 US HWY 183, LEANDER, TX, 78641","30.561119683154","-97.845581324213","needs_review","non_exact_match"
"10","6aaaceb5-440b-463b-b09b-81c9752bc509","literacy-council-williamson-county","published","Literacy Council of Williamson County","Literacy, English, and GED preparation","805 West University Avenue, Georgetown, TX, 78626","805 West University Avenue","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","805 W UNIVERSITY AVE, GEORGETOWN, TX, 78626","30.633233039789","-97.683247965121","exact",""
"11","47f853a3-e0b3-4e4f-babf-72ca6fa7cff3","catholic-charities-immigration-legal-services-georgetown","published","Catholic Charities of Central Texas","Catholic Charities – Immigration Legal Services in Georgetown","1200 W. 17th St., Carver Center, Georgetown, TX, 78626","1200 W. 17th St.","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
