"lookup_id","resource_id","status","organization_name","title_en","original_address","query_street","query_city","query_state","query_zip","preflight","reason"
"1","248e2b4d-7a2c-4427-9773-5cf5d36bbc60","published","Sacred Heart Community Clinic","Free medical care for uninsured adults","620 Round Rock West Drive, Building 8, Round Rock, TX, 78681","620 Round Rock West Drive","Round Rock","TX","78681","ready",""
"2","d36aa5a9-9c03-4a98-ad40-e34106f4c6db","published","Williamson County Children’s Advocacy Center (WCCAC)","Support for child abuse victims","1811 SE Inner Loop, Georgetown, TX, 78626","1811 SE Inner Loop","Georgetown","TX","78626","ready",""
"3","f7cc7041-2b04-4ec8-a435-dfae78584f85","published","ROCK Ride On Center for Kids","Equine-assisted therapy and support","2050 ROCKride Lane, Georgetown, TX, 78626","2050 ROCKride Lane","Georgetown","TX","78626","ready",""
"4","c81ada7a-35f9-4f2c-8282-303c82c3b30c","published","Williamson County","Family Recovery Court","405 Martin Luther King Street, Georgetown, TX, 78626","405 Martin Luther King Street","Georgetown","TX","78626","ready",""
"5","145067fd-844f-4744-bb56-9d13c420ca50","published","STARRY + Georgetown Health Foundation","STARRY – Carver Center for Families","1200 W. 17th St., Georgetown, TX, 78626","1200 W. 17th St.","Georgetown","TX","78626","ready",""
"6","96e32345-c31a-4260-a816-efb412582e88","published","Williamson County Juvenile Services","Mental health and family support for justice-involved youth","200 Wilco Way, Georgetown, TX, 78626","200 Wilco Way","Georgetown","TX","78626","ready",""
"7","36baf425-4bb9-47ad-bc13-101fdfd4fb78","published","The Georgetown Project","NEST Empowerment Center","2201 Old Airport Rd., Georgetown, TX, 78628","2201 Old Airport Rd.","Georgetown","TX","78628","ready",""
"8","bfa1bda7-274b-42fb-9a1b-3cacab6c0395","published","The Caring Place","Food and crisis assistance","2000 Railroad Avenue, Programs & Services: 2001 Railroad Avenue, Georgetown, TX, 78626","2000 Railroad Avenue","Georgetown","TX","78626","ready",""
"9","5f5f2227-d772-4fbb-82fd-e81b283f3750","published","Operation Liberty Hill","Food, clothing, and financial assistance","1401 N. Highway 183, Leander, TX, 78641","1401 N. Highway 183","Leander","TX","78641","ready",""
"10","6aaaceb5-440b-463b-b09b-81c9752bc509","published","Literacy Council of Williamson County","Literacy, English, and GED preparation","805 West University Avenue, Georgetown, TX, 78626","805 West University Avenue","Georgetown","TX","78626","ready",""
"11","47f853a3-e0b3-4e4f-babf-72ca6fa7cff3","published","Catholic Charities of Central Texas","Catholic Charities – Immigration Legal Services in Georgetown","1200 W. 17th St., Carver Center, Georgetown, TX, 78626","1200 W. 17th St.","Georgetown","TX","78626","ready",""
"12","855ba650-5774-4bea-a87d-a4674464b7bc","published","Immigrant Legal Resource Center (ILRC)","Immigration Rights & Legal Resources","6633 East Hwy 290, Suite 102, Austin, TX, 78723","6633 East Hwy 290","Austin","TX","78723","ready",""
"13","36cce978-6612-4e04-8874-0a54503645eb","published","Austin Free-Net","Free Computer Access & Digital Skills","2209 Rosewood Ave., Austin, TX, 78702","2209 Rosewood Ave.","Austin","TX","78702","ready",""
"14","9e02be2f-dabf-4e0d-87ae-4b8aacdba5b4","published","Texas Baptist Children's Home","Transitional housing and counseling","1101 N. Mays Street, Round Rock, TX, 78664","1101 N. Mays Street","Round Rock","TX","78664","ready",""
"15","a922e19a-6fa5-4e4d-8621-48a7d7623ab7","published","The Settlement Home for Children Post-Adoption Services","Post-adoption support services","1600 Payton Gin Road, Austin, TX, 78758","1600 Payton Gin Road","Austin","TX","78758","ready",""
"16","e20bd28c-bbc1-4ff3-89f4-f6493b731344","published","Upbring","Foster care, adoption, and transition support","8305 Cross Park Drive, Austin, TX, 78754","8305 Cross Park Drive","Austin","TX","78754","ready",""
"17","9a3dbad5-475f-4fc9-bf04-66897b2da65c","published","Cross Creek Behavioral Health Hospital","Mental health and wellness services","8402 Cross Park Drive, Austin, TX, 78754","8402 Cross Park Drive","Austin","TX","78754","ready",""
"18","40f9a72b-aa77-4860-8ffd-6e4c473993a8","published","Healing Wings LLC","Therapy and psychological assessment for youth","4749 Williams Drive, Suite 323, Georgetown, TX, 78633","4749 Williams Drive","Georgetown","TX","78633","ready",""
"19","24a73cb9-c809-4de7-9d4a-91311a668122","published","Impact Counseling Services, Inc","Counseling for youth, adults, and families","2100 Scenic Drive, Suite 140, Georgetown, TX, 78626","2100 Scenic Drive","Georgetown","TX","78626","ready",""
"20","2952025e-0e38-4b4a-bda8-476c35c850d6","published","Samaritan Center","Mental health and wellness services","8956 Research Blvd, Building 2, Austin, TX, 78758","8956 Research Blvd","Austin","TX","78758","ready",""
"21","dc1dba5f-ed5e-4f0b-ab30-931192372aed","published","Boys and Girls Club of Georgetown","Youth development and recreation programs","1200 W. 17th Street, Georgetown, TX, 78626","1200 W. 17th Street","Georgetown","TX","78626","ready",""
"22","0e0452ad-c60b-4f3b-92ab-0434444425f4","published","Candlelight Ranch","Youth development and recreation programs","6408 Muleshoe Bend Trail, Marble Falls, TX, 78654","6408 Muleshoe Bend Trail","Marble Falls","TX","78654","ready",""
"23","1fee08a5-40ba-4bbf-b10a-0474d09ea20c","published","Rowing Dock","Youth development and recreation programs","2418 Stratford Drive, Austin, TX, 78746","2418 Stratford Drive","Austin","TX","78746","ready",""
"24","bc94d411-db8d-4ba0-8571-2a8e964f289a","published","Westcave Outdoor Discovery Center","Youth development and recreation programs","24814 Hamilton Pool Road, Round Mountain, TX, 78663","24814 Hamilton Pool Road","Round Mountain","TX","78663","ready",""
"25","a56bf4d3-8986-4009-b2d6-9c6273582a8d","published","Zilker Botanical Garden","Youth development and recreation programs","2220 Barton Springs Road, Austin, TX, 78746","2220 Barton Springs Road","Austin","TX","78746","ready",""
"26","15dc36d5-f3d8-4799-a3b8-adc185a5ed8f","published","VELA","Courses and support for parents of children with disabilities","3100 East 4th Street, Austin, TX, 78702","3100 East 4th Street","Austin","TX","78702","ready",""
"27","46442109-648c-4f51-9ed4-df714e0f9864","published","Fostering Hope","Training and support for foster families","13300 Pond Springs Road, Austin, TX, 78729","13300 Pond Springs Road","Austin","TX","78729","ready",""
"28","20e66dca-2481-48d1-a472-2f0cd5092e22","published","Christi Center","Mental health and wellness services","2306 Hancock Drive, Austin, TX, 78756","2306 Hancock Drive","Austin","TX","78756","ready",""
