"resource_id","status","organization_name","title_en","stored_address","verification_url","official_evidence","census_status","census_match_type","census_address","nominatim_candidates","compatible_nominatim_candidates","classification","selected_provider","selected_latitude","selected_longitude","rationale"
"f7cc7041-2b04-4ec8-a435-dfae78584f85","published","ROCK Ride On Center for Kids","Equine-assisted therapy and support","2050 ROCKride Lane, Georgetown, TX, 78626","https://rockride.org/","complete","No_Match","","","1","1","approved_secondary","OpenStreetMap Nominatim","30.6149761","-97.6420654","official_address_confirmed_and_one_compatible_number_city_zip_candidate"
"145067fd-844f-4744-bb56-9d13c420ca50","published","STARRY + Georgetown Health Foundation","STARRY – Carver Center for Families","1200 W. 17th St., Georgetown, TX, 78626","https://starry.org/location/carver-center-for-families/","complete","No_Match","","","2","2","manual_review","","","","multiple_compatible_secondary_candidates"
"96e32345-c31a-4260-a816-efb412582e88","published","Williamson County Juvenile Services","Mental health and family support for justice-involved youth","200 Wilco Way, Georgetown, TX, 78626","https://www.wilcotx.gov/juvenile","complete","No_Match","","","1","1","approved_secondary","OpenStreetMap Nominatim","30.6189098","-97.6592847","official_address_confirmed_and_one_compatible_number_city_zip_candidate"
"36baf425-4bb9-47ad-bc13-101fdfd4fb78","published","The Georgetown Project","NEST Empowerment Center","2201 Old Airport Rd., Georgetown, TX, 78628","https://www.georgetownproject.org/nest-empowerment-center/","complete","Match","Non_Exact","2201 OLD AIRPORT RD, GEORGETOWN, TX, 78626","2","0","manual_review","","","","material_census_discrepancy_or_no_compatible_secondary_candidate"
"5f5f2227-d772-4fbb-82fd-e81b283f3750","published","Operation Liberty Hill","Food, clothing, and financial assistance","1401 N. Highway 183, Leander, TX, 78641","https://www.operationlh.org/contact","complete","Match","Non_Exact","1401 US HWY 183, LEANDER, TX, 78641","1","0","approved_non_exact","U.S. Census Bureau Geocoder","30.561119683154","-97.845581324213","official_address_confirmed_and_census_difference_is_harmless_standardization"
"47f853a3-e0b3-4e4f-babf-72ca6fa7cff3","published","Catholic Charities of Central Texas","Catholic Charities – Immigration Legal Services in Georgetown","1200 W. 17th St., Carver Center, Georgetown, TX, 78626","https://ccctx.org/immigration-legal-services/","complete","No_Match","","","2","2","manual_review","","","","multiple_compatible_secondary_candidates"
"2952025e-0e38-4b4a-bda8-476c35c850d6","published","Samaritan Center","Mental health and wellness services","8956 Research Blvd, Building 2, Austin, TX, 78758","https://samaritan-center.org/","complete","No_Match","","","3","3","manual_review","","","","multiple_compatible_secondary_candidates"
"dc1dba5f-ed5e-4f0b-ab30-931192372aed","published","Boys and Girls Club of Georgetown","Youth development and recreation programs","1200 W. 17th Street, Georgetown, TX, 78626","https://www.bgctx.org/UserFiles/files/BGCTX%20Parent%20Handbook%202026.pdf","partial","No_Match","","","2","2","manual_review","","","","official_page_did_not_expose_complete_address"
"ad6f0ff8-ebd7-4a63-be71-910d8a51f48a","published","Foundation Communities","Affordable Housing & Community Support Services","3000 S IH 35, Suite 300, Austin, TX, 78704","https://foundcom.org/","partial","No_Match","","","0","0","manual_review","","","","official_page_did_not_expose_complete_address"
"f114ecc1-49ca-4a76-ac67-cf07dc060373","published","Austin Habitat for Humanity","Affordable homeownership and housing counseling","500 W Ben White Boulevard, Austin, TX, 78704","https://austinhabitat.org/programs/housingcounseling/","complete","Match","Non_Exact","500 W BEN WHITE SVC RD, AUSTIN, TX, 78704","2","2","approved_non_exact","U.S. Census Bureau Geocoder","30.224927999257","-97.765736700053","official_address_confirmed_and_census_difference_is_harmless_standardization"
