"confidence","signals","title_similarity","content_similarity","left_id","left_status","left_organization","left_title","left_slug","left_created_at","right_id","right_status","right_organization","right_title","right_slug","right_created_at","recommended_action","review_notes"
"high","organization|phone|website|address","0.500","0.202","73e14c4e-af91-43fe-83bb-094977880a82","draft","AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","2026-08-18T17:42:09.537058+00:00","7136ccfe-2ede-4de6-ad9a-fffbcb49040d","published","AGE of Central Texas","AGE of Central Texas – Apoyo para Adultos Mayores y Cuidadores","h-e-l-p-programa-de-prestamo-de-equipo-medico-age-of-central-texas-age-of-central-texas","2026-08-18T17:42:13.813258+00:00","",""
"high","organization|phone|website","0.250","0.160","b033b94a-9998-4818-aa5a-4f0f263dc50f","published","AGE of Central Texas","AGE of Central Texas","age-of-central-texas-age-of-central-texas","2026-08-10T19:18:17.466707+00:00","7136ccfe-2ede-4de6-ad9a-fffbcb49040d","published","AGE of Central Texas","AGE of Central Texas – Apoyo para Adultos Mayores y Cuidadores","h-e-l-p-programa-de-prestamo-de-equipo-medico-age-of-central-texas-age-of-central-texas","2026-08-18T17:42:13.813258+00:00","",""
"high","organization|phone|website","0.500","0.103","b033b94a-9998-4818-aa5a-4f0f263dc50f","published","AGE of Central Texas","AGE of Central Texas","age-of-central-texas-age-of-central-texas","2026-08-10T19:18:17.466707+00:00","73e14c4e-af91-43fe-83bb-094977880a82","draft","AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","2026-08-18T17:42:09.537058+00:00","",""
"high","organization|title_es|title_en|phone|website","1.000","0.043","cbb1de0f-9b82-413d-9b00-d24c855e256d","published","American Gateways","Servicios legales de inmigración","servicios-legales-de-inmigracion-american-gateways","2026-07-27T22:28:43.044753+00:00","6b6206fb-08ba-4230-9456-88d4359a1da6","draft","American Gateways","Servicios legales de inmigración","american-gateways-american-gateways","2026-08-19T04:57:53.875713+00:00","",""
"high","organization|phone|website","0.200","0.136","ee3e39b6-e869-4c08-85ff-6f2236829471","published","Any Baby Can","Apoyo integral para familias con niños","apoyo-integral-para-familias-con-ninos-any-baby-can","2026-07-27T22:28:43.4892+00:00","ce83670d-be6e-4249-be5b-a8a736e73a91","published","Any Baby Can","Apoyo comunitario para personas y familias","any-baby-can-community-support-for-individuals-and-families","2026-08-10T18:10:11.067741+00:00","",""
"high","organization|title_es|title_en|website","1.000","0.068","a274668c-d7e9-41d3-9a4d-db1971210089","published","Assurance Wireless","Servicio telefónico Lifeline","assurance-wireless-mobile-phone-program","2026-08-10T19:18:18.674352+00:00","1367ed4f-c652-45c6-8d62-8a921ec90ff7","archived","Assurance Wireless","Servicio telefónico Lifeline","assurance-wireless-community-support-williamson","2026-09-03T00:14:00.794315+00:00","",""
"high","organization|phone|website","0.400","1.000","7fd18a9b-abd0-41c4-a16d-a776de28d1bd","published","Austin Public Health","Clínica de vacunación Far South","austin-public-health-far-south-immunization-clinic","2026-08-10T18:19:16.889746+00:00","9fd1002c-023f-4650-aa26-9b5889fbf6fc","published","Austin Public Health","Clínica de vacunación St. Johns","austin-public-health-st-johns-immunization-clinic","2026-08-10T18:19:17.070135+00:00","",""
"high","organization|phone|email|website","0.429","0.176","ab202566-f7ac-44cc-a7a7-9537b078b51b","draft","Bastrop County Emergency Food Pantry","Asistencia alimentaria de emergencia","despensa-de-emergencia-del-condado-de-bastrop-bastrop-county-emergency-food-pantry","2026-08-19T04:57:45.988595+00:00","96f1bed9-7531-411e-99b6-f15a7e030f85","draft","Bastrop County Emergency Food Pantry","Programa de Asistencia de Renta/Utilities — Despensa de Emergencia del Condado de Bastrop","programa-de-asistencia-de-renta-utilities-despensa-de-emergencia-del-condado-de-bastrop-bastrop-county-emergency-food-pantry","2026-08-19T04:57:52.635331+00:00","",""
"high","organization|title_es|title_en|phone|website","1.000","0.207","c13e76f8-74bf-4ecb-8fa8-850629889544","archived","Bluebonnet Trails Community Services","Servicios de salud mental y crisis","bluebonnet-trails-mental-health-williamson","2026-08-07T23:13:44.869104+00:00","84bc6c87-6a0e-4e45-8677-6c6aa9c9242b","published","Bluebonnet Trails Community Services","Servicios de salud mental y crisis","bluebonnet-trails-mental-health","2026-08-10T14:00:51.743422+00:00","",""
"high","organization|phone|website","0.333","0.194","eb6d90c6-8436-4dc6-b078-bb96f980a545","published","Bluebonnet Trails Community Services","Evaluación y referidos para uso de sustancias","bluebonnet-trails-osar-williamson","2026-08-07T23:13:45.069623+00:00","3ca65a44-4607-4269-a72b-866754293f4d","published","Bluebonnet Trails Community Services","Servicios de Consumo de Sustancias de Bluebonnet Trails","bluebonnet-trails-substance-use-services","2026-08-10T14:00:50.669104+00:00","",""
