id,slug,organization_name,title_es,title_en,status,completed_fields,total_fields,completion_percent,missing_count,missing_fields
"a37dbeb1-a190-4764-8ca6-5c2d0fb65fc8","orientacion-para-encontrar-ayuda-local-2-1-1-texas","2-1-1 Texas","Orientación para encontrar ayuda local","Help Finding Local Resources","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"d7cdfca1-dd48-419e-9b40-bc26888e1ede","clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","Austin Community College District","Clases de inglés, GED y capacitación laboral","English, GED, and Career Training Programs","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"2428ce80-12ca-41f2-b8c4-2e7f97ccc0b2","transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","Capital Area Rural Transportation System (CARTS)","Transporte rural y regional en Travis County","Rural and Regional Transportation in Travis County","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"7c12b2f6-3825-479d-932b-e64bf14a6006","encuentra-alimentos-cerca-de-ti-central-texas-food-bank","Central Texas Food Bank","Encuentra alimentos cerca de ti","Find Food Near You","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"79800ed7-dff2-4433-bfee-5bb3a2ba2709","buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","City of Austin Housing Department","Buscador de vivienda asequible de Austin","Austin Affordable Housing Search Tool","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"6979b575-1dc0-4995-8ba3-2dc3a7a76413","descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","City of Austin Utilities / Austin Energy","Descuentos y ayuda con servicios públicos","Utility Discounts and Emergency Assistance","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"ef4c29a6-c365-45bd-9522-4372e0bcd2f0","transporte-gratuito-para-adultos-mayores-drive-a-senior","Drive a Senior","Transporte gratuito para adultos mayores","Free Transportation for Older Adults","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"5b5e715c-1154-4c6a-84d5-856bb491db4f","educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","Literacy Coalition of Central Texas","Educación para adultos y preparación laboral","Adult Education and Career Preparation","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"bcc4aa27-31b3-4f07-94c1-5d2b8fbbfeb8","linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","The SAFE Alliance","Línea confidencial 24/7 para violencia y abuso","24/7 Confidential Support for Violence and Abuse","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"a322325a-0aa9-42dd-9803-52d242da0f4c","ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","Travis County Health and Human Services","Ayuda para pagar servicios públicos","Utility Payment Assistance","published","17","41","41","24","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
