"severity","confidence","code","status","id","slug","organization_name","title_es","title_en","primary_category","detail","recommendation"
"classification","low","possible_category_mismatch","published","a37dbeb1-a190-4764-8ca6-5c2d0fb65fc8","orientacion-para-encontrar-ayuda-local-2-1-1-texas","2-1-1 Texas","Orientación para encontrar ayuda local","Help Finding Local Resources","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","aef44fd4-dad3-46c3-b679-414b3d981ac1","african-american-youth-harvest-foundation-community-support-for-individuals-and-families","African American Youth Harvest Foundation","Educación, bienestar y apoyo integral para jóvenes y familias","Education, wellness, and wraparound support for youth and families","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","73e14c4e-af91-43fe-83bb-094977880a82","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","AGE of Central Texas","Orientación y apoyo para cuidadores familiares","Navigation and support for family caregivers","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","0a97f4ee-26c3-4a07-a118-c3cf024c20d5","all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","All Saints Episcopal Church Rent and Utility Assistance","Asistencia con renta y servicios públicos","Rent and utility assistance","vivienda","Text signals transporte but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","e3497e15-889d-4c79-b5df-5464e49d62b3","austin-clubhouse-mental-health-and-wellness-services","Austin Clubhouse","Servicios de salud mental y bienestar","Mental health and wellness services","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","5c580c96-5e59-465f-9223-c223a9a1e1b1","austin-habitat-for-humanity-homeownership-program-austin-habitat-for-humanity-homeownership-program","Austin Habitat for Humanity Homeownership Program","Programa de compra de vivienda asequible","Affordable homeownership program","vivienda","Text signals educacion but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","153a2496-64c7-4ea3-b4bb-e51c370d0376","austin-neighborhood-center-housing-and-financial-assistance-travis","Austin Neighborhood Center","Renta, servicios y necesidades básicas","Rent, utilities, and basic needs","recursos-financieros","Text signals transporte but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","d1fb9aff-e20f-4e22-88b1-1ac68d60670d","clinica-wic-de-bastrop-austin-public-health-administra-wic-para-el-area-de-bastrop","Austin Public Health (administra WIC para el área de Bastrop)","Clínica WIC de Bastrop","WIC Bastrop Clinic","comida","Text signals educacion but primary category is comida.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","454c78f4-22eb-4e3e-afb1-27d2b6b32cac","austin-resource-center-for-the-homeless-arch-austin-resource-center-for-the-homeless-arch","Austin Resource Center for the Homeless (ARCH)","Refugio de Emergencia y Servicios para Personas sin Vivienda","Emergency Shelter & Homeless Services","vivienda","Text signals ayuda-legal but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","1eb2779a-7fd2-4524-a9d4-2f66924afa2b","austin-voices-for-education-and-youth-community-support-for-individuals-and-families","Austin Voices for Education and Youth","Centros escolares de recursos para familias","School-based family resource centers","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","5e7c1ec1-b2e5-4807-9b3c-248719aefd2b","oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county","Bastrop County","Orientación y reclamos de beneficios para veteranos","Veterans benefits counseling and claims assistance","recursos-financieros","Text signals educacion but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","2a3cb8bc-969e-4e58-aef3-e09ae04792f0","bastrop-county-cares-bastrop-county-cares","Bastrop County Cares","Conexión con Servicios de Salud y Apoyo Comunitario","Health & Community Support Navigation","salud","Text signals transporte but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","96f1bed9-7531-411e-99b6-f15a7e030f85","programa-de-asistencia-de-renta-utilities-despensa-de-emergencia-del-condado-de-bastrop-bastrop-county-emergency-food-pantry","Bastrop County Emergency Food Pantry","Asistencia de emergencia con renta y servicios públicos","Emergency rent and utility assistance","recursos-financieros","Text signals comida but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
