"issue","status","resource_id","organization_name","title_es","title_en","group_size","signals","slug","phone","website_url","source_url","recommended_action","review_notes"
"ambiguous_survivor_title","draft","9ce822a1-a937-412a-ac7b-651db9f9f27f","Asian Family Support Services of Austin","Apoyo integral para sobrevivientes asiáticos","Comprehensive support for Asian survivors","1","missing_context","asian-family-support-services-of-austin-legal-and-safety-support-travis","877-281-8371","https://www.afssaustin.org/","https://www.afssaustin.org/","Add the verified violence, abuse, assault, or trafficking context.",""
"shared_title_review","draft","e990f159-ede8-4f94-be7f-f082146085d4","Abiding Love Lutheran Church","Despensa de alimentos","Food pantry","90","description","abiding-love-lutheran-church-travis","512-892-4041","https://www.abidinglove.org/connect/outreach/food-pantry.html","https://www.abidinglove.org/connect/outreach/food-pantry.html","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","d862c233-da6f-472f-85e0-c870f92b767b","Agape Food Pantry of Taylor","Despensa de alimentos","Food pantry","90","description","agape-food-pantry-of-taylor-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","a7b453f7-8679-4e59-9a1c-1fc605ae8251","All Saints Episcopal Church","Asistencia con servicios públicos","Utility assistance","3","","all-saints-episcopal-church-housing-and-financial-assistance-travis","512-476-3589","","","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","b46b9fea-09ff-496e-a141-5c302dd53067","APICON Home Health","Atención médica en el hogar","Home health care","3","","apicon-home-health-health-and-personal-support-williamson","512-249-0899","","https://bluebonnetmhmr.sharepoint.com/:w:/s/HomelessPrevention-WilliamsonCounty/IQDgCHa89OPnQJUv8dytejreASlo03BYpaGdCV4_UY6Guec?e=7HfEh9","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","52eaa45a-a64d-43f5-980b-ea7cd88044cb","Apostolic Christian Church of Bastrop","Despensa de alimentos","Food pantry","90","description","apostolic-christian-church-of-bastrop-bastrop","512-321-2345","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","f1868110-14b4-4e29-9aa3-79c92262f104","Area Ministry for Emergency Needs (AMEN) Food Pantry","Despensa de alimentos","Food pantry","90","description","area-ministry-for-emergency-needs-amen-food-pantry-fayette","979-968-3943","https://amenlagrange.org/","https://amenlagrange.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","85ae1fe5-bc9d-4fe0-9e45-49679d8a82ab","Austin Blessings Food Pantry: Austin Blessings Outreach Center","Despensa de alimentos","Food pantry","90","website","austin-blessings-food-pantry-austin-blessings-outreach-center-travis","","https://austinblessings.org/","https://austinblessings.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","ee95ff9f-f117-400f-8781-1e243600520a","Austin Blessings Food Pantry: Austin Reconciliation Church","Despensa de alimentos","Food pantry","90","website","austin-blessings-food-pantry-austin-reconciliation-church-travis","","https://austinblessings.org/","https://austinblessings.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","3e6b0c83-aca9-4bd2-ad20-567164dd7776","Austin City Lutherans - Bread For All Pantry","Despensa de alimentos","Food pantry","90","description","austin-city-lutherans-bread-for-all-pantry-travis","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","691fd97c-bb22-4042-b761-c2aca3acd74b","Austin Vineyard Church","Despensa de alimentos","Food pantry","90","description","austin-vineyard-church-travis","512-331-5200","https://www.austinvineyardchurch.com/","https://www.austinvineyardchurch.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","c096060e-485e-4653-a873-f232cec30351","Bannockburn Baptist Church","Despensa de alimentos","Food pantry","90","description","bannockburn-baptist-church-travis","512-892-2703","https://bannockburnchurch.com/","https://bannockburnchurch.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","1a27a3fe-76fa-4f3f-b284-1e2c86693ffc","Bastrop Emergency Food Pantry and Support Center Inc.","Despensa de alimentos","Food pantry","90","","bastrop-emergency-food-pantry-and-support-center-inc-bastrop","512-303-0033","https://bastropfoodpantry.org/programs/food-assistance/","https://bastropfoodpantry.org/programs/food-assistance/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","a9218b46-6595-453b-b319-a2cb3624d4af","Bastrop Housing Authority","Vivienda pública y vales de Sección 8","Public housing and Section 8 vouchers","2","","autoridad-de-vivienda-de-bastrop-bastrop-housing-authority","512-321-3398","https://www.bastropha.org/","https://www.bastropha.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","65c9a24e-e45b-4772-a0f3-2d8d7cf197a0","Bethany Christian Church","Despensa de alimentos","Food pantry","90","","bethany-christian-church-travis","512-926-4146","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
