"issue","status","resource_id","organization_name","title_es","title_en","group_size","signals","slug","phone","website_url","source_url","recommended_action","review_notes"
"shared_title_review","published","89813161-cbea-4aac-b1cd-3880a150280b","A Rocha USA","Apoyo comunitario para personas y familias","Community support for individuals and families","18","","a-rocha-usa-community-support-for-individuals-and-families","512-270-8308","https://arocha.us/","https://arocha.us/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","8a6d6db0-e43e-4ba5-a267-5584193dc263","Affordable Housing Online Search Tool (AHOST)","Búsqueda de vivienda asequible","Affordable housing search","2","","affordable-housing-online-search-tool-ahost-affordable-housing-search","","https://atxaffordablehousing.net/","https://atxaffordablehousing.net/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","f50ecc2d-6d8d-4343-8d07-2b55e58acede","AffordableHousing.com","Búsqueda de vivienda asequible","Affordable housing search","2","","affordablehousing-com-affordable-housing-search","","https://www.affordablehousing.com/","https://www.affordablehousing.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","aef44fd4-dad3-46c3-b679-414b3d981ac1","African American Youth Harvest Foundation","Apoyo comunitario para personas y familias","Community support for individuals and families","18","","african-american-youth-harvest-foundation-community-support-for-individuals-and-families","","http://www.aayhf.org/","http://www.aayhf.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","cbb1de0f-9b82-413d-9b00-d24c855e256d","American Gateways","Servicios legales de inmigración","Immigration Legal Services","3","","servicios-legales-de-inmigracion-american-gateways","512-478-0546","https://www.americangateways.org/","https://www.americangateways.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","1e1c4788-2cfb-457b-80a1-e70c8f25772b","ATX Kids Club","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","25","","atx-kids-club-youth-development-and-recreation-programs","512-234-5437","http://atxkidsclub.org/","http://atxkidsclub.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","a7728245-bdf4-445f-8c5a-8f6a7550385b","Austin Angels","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","7","","austin-angels-support-for-foster-youth-and-families","512-387-4307","http://austinangels.com","http://austinangels.com","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","e01eedb9-6ee0-4c1b-81c6-b822ffc9e6c7","Austin Child Guidance Center","Servicios de salud mental y bienestar","Mental health and wellness services","11","","austin-child-guidance-center-mental-health-and-wellness-services","512-451-2242","http://www.austinchildguidance.org/","http://www.austinchildguidance.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","e3497e15-889d-4c79-b5df-5464e49d62b3","Austin Clubhouse","Servicios de salud mental y bienestar","Mental health and wellness services","11","","austin-clubhouse-mental-health-and-wellness-services","512-925-5877","http://www.austinclubhouse.org/","http://www.austinclubhouse.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","b460fd32-3961-4299-9beb-4f29f185029b","Austin Creative Reuse","Programas educativos y apoyo al aprendizaje","Education and learning support programs","9","","austin-creative-reuse-education-and-learning-support-programs","512-375-3041","http://austincreativereuse.org/","http://austincreativereuse.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","1eb2779a-7fd2-4524-a9d4-2f66924afa2b","Austin Voices for Education and Youth","Apoyo comunitario para personas y familias","Community support for individuals and families","18","","austin-voices-for-education-and-youth-community-support-for-individuals-and-families","512-493-4288","https://www.austinvoices.org/","https://www.austinvoices.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","d8a4c908-3fc6-4462-8f83-6b47945f1185","Austin Youth Fitness","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","25","","austin-youth-fitness-youth-development-and-recreation-programs","512-537-9795","http://austinyouthfitness.com","http://austinyouthfitness.com","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","published","6c0c4768-3cad-4e52-b3cd-67f0bcb006ce","Austin Youth River Watch","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","25","","austin-youth-river-watch-youth-development-and-recreation-programs","512-708-9115","https://riverwatchers.org/","https://riverwatchers.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
