"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"The Caring Place","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Access to food pantry monthly Financial assistance for those within their service ares with required documentation (rent, mortgage, utilities, housing deposit, transportation assistance, emergency dental and prescription assistance, temporary emergency shlter Voucher for clothing and household goods at their thrift store","the-caring-place-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes:  9am-4pm
martes:  9am-4pm
miércoles: 9am-4pm
viernes: 9am-4pm
Cerrado los jueves","Monday:  9am-4pm
Tuesday:  9am-4pm
Wednesday: 9am-4pm
Friday: 9am-4pm
CLOSED ON THURSDAYS","","","Condado de Williamson","Williamson County","512-943-0700","","","","https://www.caringplacetx.org/","2000 Railroad Ave. Georgetown, TX 78626","","","TX","78626","Williamson","30.626922320429","-97.684634871524","https://www.caringplacetx.org/","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 2000 RAILROAD AVE, GEORGETOWN, TX, 78626."
"First Presbyterian Church of Georgetown","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Canned foods, snacks, hygiene items, refillable water bottles, clothing One visit per week Free coffee both days","first-presbyterian-church-of-georgetown-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","free","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","martes: 1pm-3pm
miércoles: 9:30am-11:30am","Tuesday: 1pm-3pm
Wednesday: 9:30am-11:30am","","","Condado de Williamson","Williamson County","512-863-3381","","","","https://fpcgeorgetown.org/","703 South Church St. (enter white door)","","","","","Williamson","","","https://fpcgeorgetown.org/","","","2026-07-08","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Stonehaven Resident Council","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","stonehaven-resident-council-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","sábado: 10am-12pm","Saturday: 10am-12pm","","","Condado de Williamson","Williamson County","","","","","","210 W 18th St. Georgetown, TX 78626","","","TX","78626","Williamson","30.627664056665","-97.67804204338","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 210 W 18TH ST, GEORGETOWN, TX, 78626."
"Round Rock Area Serving Center","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Financial assistance for utilities, rent, prescriptions, payday loan assistance, transportation, temporary lodging Amazon Home Delivery Program (60yrs+)","round-rock-area-serving-center-round-rock","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","Dirigido a adultos mayores; confirme la edad mínima con el programa.","Intended for older adults; confirm the minimum age with the program.","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes-viernes: 10am-4pm
sábado: 10am-4pm","Monday-Friday: 10am-4pm
Saturday: 10am-4pm","","","Condado de Williamson","Williamson County","512-244-2431","","","","https://www.rrasc.org/","1099 E Main Street, Round Rock, TX 78664","","Round Rock","TX","78664","Williamson","","","https://www.rrasc.org/","","","2026-07-08","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"San Gabriel Unitarian Universalist Fellowship","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Little Blue Pantry Box - Free food items Showers every third Sunday","san-gabriel-unitarian-universalist-fellowship-williamson","comida","","despensa|alimentos","food|pantry","","in_person","free","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","","","","","Condado de Williamson","Williamson County","","","","","","1322 E University Ave. Georgetown, TX 78626","","","TX","78626","Williamson","30.633429276355","-97.663268253165","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 1322 E UNIVERSITY AVE, GEORGETOWN, TX, 78626."
"St. Vincent De Paul","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","st-vincent-de-paul-round-rock","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes: 9am-12pm
viernes: 9am-12pm","Monday: 9am-12pm
Friday: 9am-12pm","","","Condado de Williamson","Williamson County","512-255-2330","","","","","620 Round Rock West Drive, Round Rock, TX 78681","","Round Rock","TX","78681","Williamson","30.503269391164","-97.688749171204","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 620 ROUND ROCK WEST DR, ROUND ROCK, TX, 78681."
"Round Rock Seventh Day Adventist Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","round-rock-seventh-day-adventist-church-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","jueves: 3pm-6pm? 9am-11am??? se debe confirmar","Thursday: 3pm-6pm? 9am-11am??? need to confirm","","","Condado de Williamson","Williamson County","512-388-7870","","","","","4 Applegate Circle Round Rock, TX 78665","","","TX","78665","Williamson","30.547342908663","-97.673387682921","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 4 APPLEGATE CIR, ROUND ROCK, TX, 78665."
"Church of the Harvest","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","church-of-the-harvest-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","martes: 4pm-7pm
jueves: 4pm-7pm
sábado: 10am-1pm","Tuesday: 4pm-7pm
Thursday: 4pm-7pm
Saturday: 10am-1pm","","","Condado de Williamson","Williamson County","512-916-3601","","","","","2701 Gattis School Rd. Round Rock, TX 78664","","","TX","78664","Williamson","30.496258070312","-97.645191169634","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 2701 GATTIS SCHOOL RD, ROUND ROCK, TX, 78664."
"Manna Food Pantry","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","manna-food-pantry-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes: 7:30am-10am
miércoles: 2pm-5pm","Monday: 7:30am-10am
Wednesday: 2pm-5pm","","","Condado de Williamson","Williamson County","512-255-3454","","","","","303 West Anderson Ave. Suite B Round Rock, TX 78664","","","TX","78664","Williamson","30.510498415162","-97.681976247854","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 303 W ANDERSON AVE, ROUND ROCK, TX, 78664."
"The Salvation Army","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","CONFIRM IF PANTRY SUPPORT AVAILABLE","the-salvation-army-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes: 10am-8pm
martes: 10am-7pm
miércoles: 9am-8pm
jueves: 10am-7pm
viernes: 10am-7pm
sábado: 10am-8pm
Cerrado los domingos","Monday: 10am-8pm
Tuesday: 10am-7pm
Wednesday: 9am-8pm
Thursday: 10am-7pm
Friday: 10am-7pm
Saturday: 10am-8pm
CLOSED ON SUNDAYS","","","Condado de Williamson","Williamson County","512-246-7292","","","","https://salvationarmyaustin.org/","601 W. Louis Henna Blvd. Round Rock, TX 78664","","","TX","78664","Williamson","","","https://salvationarmyaustin.org/","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Foundation Communities - Lakeline Station","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","foundation-communities-lakeline-station-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","segundo y cuarto lunes: 11am-1pm","2nd and 4th Mondays: 11am-1pm","","","Condado de Williamson; Condado de Travis","Williamson County; Travis County","512-615-4755","","","","","13635 Rutledge Spur, Austin, TX","","","TX","","","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Reveal Resource Center","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Clothing assisatnce available monthly, adult and baby diapers (when available) for enrolled clients. No financial assistance offered","reveal-resource-center-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes: 7pm-8pm
Martes: 9am-12pm","Mondays: 7pm-8pm
Tuesdays: 9am-12pm","","","Condado de Williamson","Williamson County","","","","","https://revealresourcecenter.com/","1150 S. Bell Blvd. Cedar Park, TX 78613","","","TX","78613","Williamson","30.495476234211","-97.811513627009","https://revealresourcecenter.com/","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 1150 S BELL BLVD, CEDAR PARK, TX, 78613."
