"csv_row","status","match_type","matched_address","coordinates"
"88","Match","Non_Exact","5630 FM 535, CEDAR CREEK, TX, 78612","-97.500852071141,30.083886904657"
"89","Match","Non_Exact","302 W 11TH ST, ELGIN, TX, 78621","-97.379364625869,30.352158038491"
"191","Match","Non_Exact","813 STATE HWY 123, SEGUIN, TX, 78155","-97.941056414878,29.575799378337"
"192","Match","Exact","307 PFEIL ST, SCHERTZ, TX, 78154","-98.267153090954,29.556405701349"
"194","Match","Non_Exact","813 STATE HWY 123, SEGUIN, TX, 78155","-97.941056414878,29.575799378337"
"196","No_Match","","",""
"110","Match","Non_Exact","165 W AUSTIN ST, GIDDINGS, TX, 78942","-96.937983391088,30.1830477827"
"198","No_Match","","",""
"112","No_Match","","",""
"116","No_Match","","",""
"90","Match","Non_Exact","111 PEARCE LN, CEDAR CREEK, TX, 78612","-97.49997933017,30.086444422563"
"117","Match","Non_Exact","2215 S LAKELINE BLVD, CEDAR PARK, TX, 78613","-97.821306928831,30.479184744081"
"91","Tie","","",""
"118","Match","Non_Exact","410 W 7TH ST, TAYLOR, TX, 76574","-97.413599579444,30.573249661171"
"92","Match","Non_Exact","603 LINDEN ST, BASTROP, TX, 78602","-97.321342104302,30.125072951086"
"93","Match","Non_Exact","301 PAUL C BELL ST, BASTROP, TX, 78602","-97.31730674219,30.103115746287"
"94","Match","Non_Exact","206 PRIMA ST, SMITHVILLE, TX, 78957","-97.165098026466,30.006277417248"
"95","Match","Non_Exact","901 BOIS DARC ST, LOCKHART, TX, 78644","-97.684756594655,29.885270323548"
"97","Match","Non_Exact","112 SAINT JOHNS RD, DALE, TX, 78616","-97.565828915639,29.975212790102"
"10","Match","Non_Exact","303 W ANDERSON AVE, ROUND ROCK, TX, 78664","-97.681976247854,30.510498415162"
"11","No_Match","","",""
"99","Match","Non_Exact","2000 W SAN ANTONIO ST, LOCKHART, TX, 78644","-97.703410917177,29.882619413609"
"12","No_Match","","",""
"13","Match","Non_Exact","1150 S BELL BLVD, CEDAR PARK, TX, 78613","-97.811513627009,30.495476234211"
"14","Match","Non_Exact","3502 HATCH RD, CEDAR PARK, TX, 78613","-97.820839182643,30.461614674442"
"15","Match","Non_Exact","3315 EL SALIDO PKWY, CEDAR PARK, TX, 78613","-97.828138301683,30.461002146431"
"16","Match","Non_Exact","2001 W NEW HOPE DR, CEDAR PARK, TX, 78613","-97.864574872102,30.524207396324"
"17","Match","Non_Exact","1005 LACY DR, LEANDER, TX, 78641","-97.849243821789,30.565518895963"
"18","Match","Non_Exact","300 CRYSTAL FALLS PKWY, LEANDER, TX, 78641","-97.846883168242,30.556983014981"
"19","Match","Non_Exact","14500 ROUND MOUNTAIN RD, LEANDER, TX, 78641","-97.948993675821,30.57445866972"
"120","Match","Exact","2300 GREENHILL DR, ROUND ROCK, TX, 78664","-97.681317052259,30.533567272439"
"121","Match","Exact","8133 MESA DR, AUSTIN, TX, 78759","-97.756916704073,30.372050005559"
"2","Match","Non_Exact","2000 RAILROAD AVE, GEORGETOWN, TX, 78626","-97.684634871524,30.626922320429"
"3","No_Match","","",""
"124","Match","Non_Exact","803 W 8TH ST, GEORGETOWN, TX, 78626","-97.68368874462,30.636585300265"
"4","Match","Non_Exact","210 W 18TH ST, GEORGETOWN, TX, 78626","-97.67804204338,30.627664056665"
"5","No_Match","","",""
"6","Match","Non_Exact","1322 E UNIVERSITY AVE, GEORGETOWN, TX, 78626","-97.663268253165,30.633429276355"
"7","Match","Non_Exact","620 ROUND ROCK WEST DR, ROUND ROCK, TX, 78681","-97.688749171204,30.503269391164"
"8","Match","Non_Exact","4 APPLEGATE CIR, ROUND ROCK, TX, 78665","-97.673387682921,30.547342908663"
"9","Match","Non_Exact","2701 GATTIS SCHOOL RD, ROUND ROCK, TX, 78664","-97.645191169634,30.496258070312"
"20","Match","Non_Exact","204 E LIVE OAK ST, HUTTO, TX, 78634","-97.544703927664,30.546322121743"
"21","Match","Non_Exact","1616 OLD GRANGER RD, TAYLOR, TX, 76574","-97.41008517475,30.581648872379"
"22","No_Match","","",""
"23","Match","Non_Exact","121 E 2ND ST, TAYLOR, TX, 76574","-97.409213400634,30.568769811003"
"24","Match","Non_Exact","508 N 5TH ST, JARRELL, TX, 76537","-97.607077012524,30.828972566049"
"25","Match","Non_Exact","500 W DAVILLA ST, GRANGER, TX, 76530","-97.44876279982,30.71912755618"
"26","Match","Non_Exact","401 FM 970, FLORENCE, TX, 76527","-97.798513269618,30.832331540922"
"27","No_Match","","",""
"132","Match","Non_Exact","1401 MEDICAL PKWY, CEDAR PARK, TX, 78613","-97.81397338098,30.531529417132"
"31","Match","Non_Exact","301 W BAGDAD AVE, ROUND ROCK, TX, 78664","-97.680610362798,30.506962577465"
"32","Match","Non_Exact","6500 METROPOLIS DR, AUSTIN, TX, 78744","-97.710306976849,30.202104818821"
"34","Match","Non_Exact","15201 BURNET RD, AUSTIN, TX, 78728","-97.695012852933,30.457138279702"
"35","Match","Non_Exact","3039 PECAN SPRINGS RD, AUSTIN, TX, 78723","-97.681998587913,30.297026900257"
"36","Match","Non_Exact","14311 WELLS PORT DR, AUSTIN, TX, 78728","-97.675073035913,30.436205053766"
"37","Match","Non_Exact","1607 DESSAU RIDGE LN, AUSTIN, TX, 78754","-97.641721215189,30.400581590241"
"38","Match","Non_Exact","7000 CAMERON RD, AUSTIN, TX, 78752","-97.693153474531,30.324932950102"
"39","Match","Non_Exact","4403 RUSSELL DR, AUSTIN, TX, 78745","-97.786147322527,30.228379782531"
"141","Match","Non_Exact","300 CHEYENNE DR, KILLEEN, TX, 76542","-97.742222535786,31.102666688651"
"142","No_Match","","",""
"143","Match","Non_Exact","805 W UNIVERSITY AVE, GEORGETOWN, TX, 78626","-97.683247965121,30.633233039789"
"146","Match","Non_Exact","1850 ROUND ROCK AVE, ROUND ROCK, TX, 78681","-97.701627622339,30.512734030626"
"147","Match","Non_Exact","355 TEXAS AVE, ROUND ROCK, TX, 78664","-97.68362483937,30.530233945901"
"40","Tie","","",""
"41","Match","Non_Exact","11704 N LAMAR BLVD, AUSTIN, TX, 78753","-97.68426497128,30.386193396814"
"42","Match","Non_Exact","8801 MCCANN DR, AUSTIN, TX, 78757","-97.729948309854,30.372191741833"
"43","Match","Non_Exact","11015 FOUR POINTS DR, AUSTIN, TX, 78726","-97.845404697749,30.399070058981"
"44","Match","Non_Exact","8405 OLD BEE CAVES RD, AUSTIN, TX, 78735","-97.887153976067,30.25159970818"
"45","Match","Non_Exact","815 W SLAUGHTER LN, AUSTIN, TX, 78748","-97.805892370182,30.173876433373"
"46","Match","Non_Exact","2105 PARKER LN, AUSTIN, TX, 78741","-97.735805336033,30.233935322746"
"47","Match","Non_Exact","2724 PHILOMENA ST, AUSTIN, TX, 78723","-97.695275121441,30.298878982533"
"48","No_Match","","",""
"49","No_Match","","",""
"151","No_Match","","",""
"152","Match","Non_Exact","215 REIMER AVE, SAN MARCOS, TX, 78666","-97.97683295747,29.852272672502"
"155","No_Match","","",""
"156","Tie","","",""
"50","Match","Non_Exact","4320 CONGRESS AVE S, AUSTIN, TX, 78745","-97.76671516382,30.218586060129"
"51","No_Match","","",""
"52","Match","Non_Exact","6907 CONVICT HILL RD, AUSTIN, TX, 78749","-97.877725407969,30.228647511354"
"53","Match","Non_Exact","7210 BRUSH COUNTRY RD, AUSTIN, TX, 78749","-97.84539492533,30.217797473456"
"54","Match","Non_Exact","7100 BRODIE LN, AUSTIN, TX, 78745","-97.831461066625,30.21235122623"
"55","Match","Non_Exact","13208 MORRIS RD, AUSTIN, TX, 78729","-97.767014887754,30.45738753557"
"56","Match","Non_Exact","901 W BRAKER LN, AUSTIN, TX, 78758","-97.686593590168,30.381960004297"
"57","Match","Non_Exact","12300 AMHERST DR, AUSTIN, TX, 78727","-97.716844338879,30.419811373612"
"58","Match","Non_Exact","10010 ANDERSON MILL RD, AUSTIN, TX, 78750","-97.798778149441,30.44711512173"
"59","Match","Non_Exact","3507 E 12TH ST, AUSTIN, TX, 78721","-97.695309019995,30.277616908676"
"160","Match","Non_Exact","10930 E CRYSTAL FALLS PKWY, LEANDER, TX, 78641","-97.805083417623,30.569857977079"
"163","Match","Non_Exact","1855 SE INNER LOOP, GEORGETOWN, TX, 78626","-97.655511594455,30.615938999632"
"167","Match","Non_Exact","1855 SE INNER LOOP, GEORGETOWN, TX, 78626","-97.655511594455,30.615938999632"
"168","Match","Non_Exact","3550 N LAKELINE BLVD, LEANDER, TX, 78641","-97.864080904301,30.544431179945"
"202","Match","Non_Exact","2026 GUADALUPE ST, AUSTIN, TX, 78705","-97.742031911149,30.282981917493"
"203","Match","Non_Exact","209 W 27TH ST, AUSTIN, TX, 78705","-97.739080017072,30.291781699937"
"204","Match","Non_Exact","2000 E 2ND ST, AUSTIN, TX, 78702","-97.723117231557,30.257703839475"
"205","No_Match","","",""
"207","Match","Non_Exact","2203 SAN ANTONIO ST, AUSTIN, TX, 78705","-97.742824975052,30.28516485659"
"60","Match","Non_Exact","6711 MANCHACA RD, AUSTIN, TX, 78745","-97.806374966589,30.205607087291"
"208","Match","Non_Exact","4301 TANNEHILL LN, AUSTIN, TX, 78721","-97.672552350731,30.28137799203"
"61","Match","Non_Exact","1314 E OLTORF ST, AUSTIN, TX, 78704","-97.743371852527,30.234529768316"
