slug,status,organization,code,detail
"ayuda-para-usar-mychart-austin-voices-for-education-and-youth-avey","published","Austin Voices for Education and Youth (AVEY)","in_person_without_address",""
"clases-de-ingles-y-alfabetizacion-digital-el-buen-samaritano","published","El Buen Samaritano","no_description_either_language",""
"girl-scouts-of-central-texas-youth-development-and-recreation-programs","published","Girl Scouts of Central Texas","in_person_without_address",""
"texas-medicaid-medical-transportation","published","Texas Health and Human Services","no_description_either_language",""
"black-women-who-community-support-for-individuals-and-families","published","Black Women Who","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","phone_not_dashed","(512)808-4044 ext. 805"
"zion-chapel-missionary-baptist-church-williamson","draft","Zion Chapel Missionary Baptist Church","no_contact_method",""
"hill-country-community-ministries-williamson","draft","Hill Country Community Ministries","no_contact_method",""
"all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","published","All Saints Episcopal Church Rent and Utility Assistance","hours_one_language_only",""
"us-citizenship-and-immigration-services-uscis","published","U.S. Department of Homeland Security – U.S. Citizenship and Immigration Services","in_person_without_address",""
"urban-roots-youth-development-and-recreation-programs","published","Urban Roots","in_person_without_address",""
"clinica-va-de-cedar-park-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA) – VA Central Texas Healthcare System","service_area_names_city",""
"asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","published","Texas RioGrande Legal Aid","no_description_either_language",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","in_person_without_address",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","phone_not_dashed","(512)391-0617 ext. 713"
"candlelight-ranch-youth-development-and-recreation-programs","published","Candlelight Ranch","in_person_without_address",""
"knights-of-columbus-hall-williamson","draft","Knights of Columbus Hall","no_contact_method",""
"round-rock-rides","published","City of Round Rock","in_person_without_address",""
"partnerships-for-children-community-support-for-individuals-and-families","published","Partnerships for Children","in_person_without_address",""
"fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","no_contact_method",""
"discount-prescription-hotline-health-and-personal-support-williamson","draft","Discount Prescription Hotline","draft_missing_source_url",""
"nutricion-y-beneficios-wic-texas-wic","published","Texas WIC","in_person_without_address",""
"ywca-greater-austin-youth-development-and-recreation-programs","published","YWCA Greater Austin","in_person_without_address",""
"carts-williamson-county","published","Capital Area Rural Transportation System (CARTS)","phone_not_dashed","1-800-456-7433"
"mama-sana-vibrant-woman-community-support-for-individuals-and-families","published","Mama Sana Vibrant Woman","in_person_without_address",""
"capmetro-ruta-271-del-valle-feeder-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 271 Del Valle","service_area_names_city",""
"florence-high-school-williamson","draft","Florence High School","no_contact_method",""
"manor-isd-project-hope-mckinney-vento-manor-independent-school-district","published","Manor Independent School District (Manor ISD)","in_person_without_address",""
"vela-disability-and-family-support","published","VELA","in_person_without_address",""
"austin-habitat-for-humanity-reparacion-de-vivienda-bastrop-austin-habitat-for-humanity","draft","Austin Habitat for Humanity","address_without_in_person",""
"lake-travis-isd-oficina-de-programas-comunitarios-lake-travis-independent-school-district","published","Lake Travis Independent School District","hours_one_language_only",""
"lake-travis-isd-oficina-de-programas-comunitarios-lake-travis-independent-school-district","published","Lake Travis Independent School District","in_person_without_address",""
"center-for-child-protection-education-and-learning-support-programs","published","Center for Child Protection","in_person_without_address",""
"jarrell-isd-cafeteria-williamson","draft","Jarrell ISD Cafeteria","no_contact_method",""
"foster-angels-of-central-texas-support-for-foster-youth-and-families","published","Foster Angels of Central Texas","in_person_without_address",""
"bridge-lacrosse-youth-development-and-recreation-programs","published","Bridge Lacrosse","in_person_without_address",""
"free-bankruptcy-advice-community-support-williamson","draft","Free Bankruptcy Advice","draft_missing_source_url",""
