score,titleSim,summarySim,shared,a_slug,a_status,a_org,a_title,b_slug,b_status,b_org,b_title
"1","1","1","ph:5125877729 web:emancipetorgfindyourclinic","emancipet-community-support-travis","draft","Emancipet","Atención veterinaria","emancipet-community-support-williamson","draft","Emancipet","Atención veterinaria"
"1","0.69","1","ph:5124611691 web:smithvillefoodpantryorg","despensa-de-alimentos-de-smithville-smithville-food-pantry","draft","Smithville Food Pantry","Despensa de alimentos de Smithville Food Pantry","smithville-food-pantry-bastrop","draft","Smithville Food Pantry","Despensa de alimentos"
"1","0.69","1","web:smithvillefoodpantryorg","despensa-de-alimentos-de-smithville-smithville-food-pantry","draft","Smithville Food Pantry","Despensa de alimentos de Smithville Food Pantry","smithville-food-pantry-bastrop-2","draft","Smithville Food Pantry","Despensa de alimentos"
"1","1","1","web:smithvillefoodpantryorg","smithville-food-pantry-bastrop-2","draft","Smithville Food Pantry","Despensa de alimentos","smithville-food-pantry-bastrop","draft","Smithville Food Pantry","Despensa de alimentos"
"1","1","0.78","ph:8004232111","lagrange-va-clinic-community-support-lagrange","draft","LaGrange VA Clinic","Atención médica","cedar-park-va-clinic-community-support-williamson","draft","Cedar Park VA Clinic","Atención médica"
"1","0.71","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","Clínica comunitaria de Georgetown","lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","Clínica comunitaria de Round Rock"
"1","0.7","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","Clínica comunitaria de Georgetown","lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","Clínica comunitaria de Cedar Park"
"1","0.75","1","ph:8778005722 web:lonestarcaresorglocation","lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","Clínica comunitaria de Round Rock","lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","Clínica comunitaria de Cedar Park"
"1","1","0.95","ph:8884874846","open-door-soup-kitchen-in-the-streets-hands-up-high-its-huh-bastrop","draft","Open Door Soup Kitchen: In The Streets - Hands Up High (ITS HUH)","Despensa de alimentos","in-the-streets-hands-up-high-housing-and-financial-assistance-bastrop","draft","In the Streets Hands Up High","Despensa de alimentos"
"1","1","1","ph:8007508956","mortgage-relief-helpline-community-support-williamson","draft","Mortgage Relief Helpline","Asistencia de vivienda","mortgage-relief-helpline-care-connect-usa-community-support-bastrop","draft","Mortgage Relief Helpline: Care Connect USA","Asistencia de vivienda"
"1","1","0.85","ph:8443096385","bluebonnet-trails-osar-outreach-screening-assessment-and-referral-health-and-personal-supp","draft","Bluebonnet Trails (OSAR) Outreach, Screening, Assessment, and Referral","Tratamiento y recuperación","osar-health-and-personal-support-bastrop","draft","OSAR","Tratamiento y recuperación"
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Despensa de alimentos","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Despensa de alimentos"
