organization_name,title_es,title_en,service_area_es,service_area_en,slug,primary_category
"2-1-1 Texas","Orientación para encontrar ayuda local","Help Finding Local Resources","Todos los condados de Texas","All Texas counties","orientacion-para-encontrar-ayuda-local-2-1-1-texas","otros-recursos"
"A Rocha USA","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Hays","Travis County, Williamson County, Hays County","a-rocha-usa-community-support-for-individuals-and-families","otros-recursos"
"Access Dental & Orthodontics","Servicios dentales y de ortodoncia","Dental and orthodontic services","Condado de Travis","Travis County","access-dental-and-orthodontics-dental-and-orthodontic-services","salud"
"Accessible Housing Austin! (AHA!)","Accessible Housing Austin! (AHA!)","Accessible Housing Austin! (AHA!)","Condado de Travis","Travis County","accessible-housing-austin-aha-accessible-housing-austin-aha","vivienda"
"Affordable Housing Online Search Tool (AHOST)","Búsqueda de vivienda asequible","Affordable housing search","Condado de Travis","Travis County","affordable-housing-online-search-tool-ahost-affordable-housing-search","vivienda"
"AffordableHousing.com","Búsqueda de vivienda asequible","Affordable housing search","Condado de Travis","Travis County","affordablehousing-com-affordable-housing-search","vivienda"
"African American Youth Harvest Foundation","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis","Travis County","african-american-youth-harvest-foundation-community-support-for-individuals-and-families","otros-recursos"
"AGE of Central Texas","AGE of Central Texas","AGE of Central Texas","Condado de Travis","Travis County","age-of-central-texas-age-of-central-texas","otros-recursos"
"Albizu Law Firm","Servicios legales de inmigración y familia","Immigration and family law services","Condado de Travis","Travis County","albizu-law-firm-immigration-and-family-law-services","ayuda-legal"
"All Saints Episcopal Church Rent and Utility Assistance","All Saints Episcopal Church","All Saints Episcopal Church Rent and Utility Assistance","Condado de Travis","Travis County","all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","vivienda"
"American Gateways","Servicios legales de inmigración","Immigration Legal Services","Condado de Travis","Travis County","servicios-legales-de-inmigracion-american-gateways","ayuda-legal"
"Angel House/ Austin Baptist Chapel","Angel House/ Austin Baptist Chapel","Angel House/ Austin Baptist Chapel","Condado de Travis","Travis County","angel-house-austin-baptist-chapel-angel-house-austin-baptist-chapel","comida"
"Any Baby Can","Servicios de apoyo familiar","Family support services","Condado de Travis","Travis County","any-baby-can-family-support-services","otros-recursos"
"Any Baby Can","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","any-baby-can-community-support-for-individuals-and-families","otros-recursos"
"Any Baby Can","Apoyo integral para familias con niños","Whole-Family Support for Families with Children","Condado de Travis","Travis County","apoyo-integral-para-familias-con-ninos-any-baby-can","otros-recursos"
