source_row,organization_name,title_es,title_en,source_status,category_label,recovery_status,recommendation,missing_or_risk,official_source,importer_ready
"2","Williamson County","Servicios para Adultos Mayores del Condado de Williamson","Williamson County Senior Services","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at | contenido o cobertura no confirmados","https://wilcotx.gov/1459/Senior-Services","no"
"3","Travis County Health and Human Services","engAGE Travis County","engAGE Travis County","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://traviscountytx.gov/health-human-services/engagetraviscounty","no"
"4","Bastrop Community Senior Center","Centro Comunitario de Ancianos de Bastrop","Bastrop Community Senior Center","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at | in_person_address","https://bastropcommunityseniorcenter.org","no"
"5","Ciudad de Lockhart","Centro de Actividades para Ancianos del Área de Lockhart","Lockhart Area Senior Citizen Activity Center","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","source_url | last_verified_at | in_person_address","","no"
"6","Community Action Inc. of Central Texas","Centro de Ancianos San Marcos (San Marcos Senior Citizens Center)","San Marcos Senior Citizens Center","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://communityaction.com/sanmarcosseniorcitizenscenter","no"
"7","Community Action Inc. of Central Texas","Asistencia con Servicios Públicos — Community Action Inc. (Hays/Caldwell/Blanco)","Utility Assistance — Community Action Inc. (Hays/Caldwell/Blanco)","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at | contenido o cobertura no confirmados","https://communityaction.com/utilityassistance","no"
"8","Opportunities for Williamson & Burnet Counties","Asistencia con Servicios Públicos — OWBC (Williamson/Burnet)","Utility Assistance — OWBC (Williamson/Burnet)","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://owbc-tx.org/community-services/","no"
"9","Travis County Health and Human Services","Asistencia con Servicios Públicos del Condado de Travis (CEAP)","Travis County Utility Assistance (CEAP)","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://traviscountytx.gov/health-human-services/apply-for-assistance/utility-assistance","no"
"10","Texas Department of Family and Protective Services (DFPS)","Servicios de Protección para Adultos de Texas (APS) — Línea Estatal","Texas Adult Protective Services (APS) — Statewide Intake","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://dfps.texas.gov/adult_protection","no"
"11","Travis Central Appraisal District (y distritos equivalentes en cada condado)","Exención de Impuestos Homestead 65+ (Distrito de Tasación)","Over-65 Homestead Tax Exemption (Appraisal District)","draft","Vivienda","recovered_from_prior_import","manual_verification_required","last_verified_at | in_person_address","https://traviscad.org/forms","no"
"12","Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas (VLSoCT)","Volunteer Legal Services of Central Texas (VLSoCT)","draft","Ayuda legal","recovered_from_prior_import","manual_verification_required","last_verified_at | contenido o cobertura no confirmados","https://vlsoct.org","no"
"13","Texas Legal Services Center","Línea Legal Directa para Texanos (Texas Legal Services Center)","Legal Hotline for Texans (Texas Legal Services Center)","draft","Ayuda legal","recovered_from_prior_import","manual_verification_required","last_verified_at","https://tlsc.org/seniors","no"
"14","Drive a Senior Central Texas","Drive a Senior (Central Texas)","Drive a Senior (Central Texas)","draft","Transporte","recovered_from_prior_import","manual_verification_required","last_verified_at","https://driveasenior.org","no"
"15","CARTS","CARTS (Capital Area Rural Transportation System)","CARTS (Capital Area Rural Transportation System)","draft","Transporte","recovered_from_prior_import","manual_verification_required","last_verified_at | posible contradicción de costo","https://ridecarts.com","no"
"16","Capital Metropolitan Transportation Authority (CapMetro)","CapMetro Access","CapMetro Access","draft","Transporte","recovered_from_prior_import","manual_verification_required","last_verified_at","https://capmetro.org/access","no"
"17","Texas Health and Human Services Commission","2-1-1 Texas (HHSC)","2-1-1 Texas (HHSC)","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://211texas.org","no"
"18","Area Agency on Aging of the Capital Area (CAPCOG) / Texas HHSC","Programa de Consejería de Beneficios / HICAP de Texas — vía AAACAP","Texas Benefits Counseling / HICAP — via AAACAP","draft","Salud","recovered_from_prior_import","manual_verification_required","last_verified_at","https://capcog.org/divisions/area-agency-on-aging/benefit-counseling-medicare-open-enrollment/","no"
"19","Central Texas Food Bank","Central Texas Food Bank — Programas para Adultos Mayores (CSFP y HOPE)","Central Texas Food Bank — Senior Programs (CSFP and HOPE)","draft","Comida","recovered_from_prior_import","manual_verification_required","last_verified_at","https://centraltexasfoodbank.org/get-help/help-seniors","no"
"20","Combined Community Action, Inc.","Meals on Wheels Rural Capital Area","Meals on Wheels Rural Capital Area","draft","Comida","recovered_from_prior_import","manual_verification_required","last_verified_at | in_person_address","https://ccaction.com/meals-on-wheels-rural-capital-area","no"
"21","Opportunities for Williamson & Burnet Counties","Opportunities for Williamson & Burnet Counties (OWBC) — Meals on Wheels","Opportunities for Williamson & Burnet Counties (OWBC) — Meals on Wheels","draft","Comida","recovered_from_prior_import","manual_verification_required","last_verified_at","https://owbc-tx.org","no"
"22","Meals on Wheels Central Texas","Meals on Wheels Central Texas (MOWCT)","Meals on Wheels Central Texas (MOWCT)","draft","Comida","recovered_from_prior_import","manual_verification_required","last_verified_at","https://mealsonwheelscentraltexas.org","no"
"23","Family Eldercare","Family Eldercare","Family Eldercare","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://familyeldercare.org","no"
"24","Alzheimer's Texas","Alzheimer's Texas — Apoyo a Cuidadores","Alzheimer's Texas — Caregiver Support","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://txalz.org","no"
"25","AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores","AGE of Central Texas — Caregiver Services","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://ageofcentraltx.org","no"
"26","Capital Area Council of Governments (CAPCOG)","Agencia de Área sobre el Envejecimiento del Área Capital (AAACAP) / ADRC — CAPCOG","Area Agency on Aging of the Capital Area (AAACAP) / ADRC — CAPCOG","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://capcog.org/divisions/area-agency-on-aging/","no"
