"Organización","Título en español","Título en inglés","Estado","Categorías","Fecha de verificación","Modificado"
"Williamson County","Servicios para Adultos Mayores del Condado de Williamson","Williamson County Senior Services","draft","Otros recursos","2026-08-18","2026-08-18T17:42:13.652263+00:00"
"Travis County Health and Human Services","engAGE Travis County","engAGE Travis County","draft","Otros recursos","2026-08-18","2026-08-18T17:42:13.488872+00:00"
"Bastrop Community Senior Center","Centro Comunitario de Ancianos de Bastrop","Bastrop Community Senior Center","draft","Otros recursos","2026-08-18","2026-08-18T17:42:13.319964+00:00"
"Ciudad de Lockhart","Centro de Actividades para Ancianos del Área de Lockhart","Lockhart Area Senior Citizen Activity Center","draft","Otros recursos","2026-08-18","2026-08-18T17:42:13.147581+00:00"
"Community Action Inc. of Central Texas","Centro de Ancianos San Marcos (San Marcos Senior Citizens Center)","San Marcos Senior Citizens Center","draft","Otros recursos","2026-08-18","2026-08-18T17:42:12.990709+00:00"
"Community Action Inc. of Central Texas","Asistencia con Servicios Públicos — Community Action Inc. (Hays/Caldwell/Blanco)","Utility Assistance — Community Action Inc. (Hays/Caldwell/Blanco)","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:12.831219+00:00"
"Opportunities for Williamson & Burnet Counties","Asistencia con Servicios Públicos — OWBC (Williamson/Burnet)","Utility Assistance — OWBC (Williamson/Burnet)","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:12.659208+00:00"
"Travis County Health and Human Services","Asistencia con Servicios Públicos del Condado de Travis (CEAP)","Travis County Utility Assistance (CEAP)","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:12.495354+00:00"
"Texas Department of Family and Protective Services (DFPS)","Servicios de Protección para Adultos de Texas (APS) — Línea Estatal","Texas Adult Protective Services (APS) — Statewide Intake","draft","Otros recursos","2026-08-18","2026-08-18T17:42:12.337266+00:00"
"Travis Central Appraisal District (y distritos equivalentes en cada condado)","Exención de Impuestos Homestead 65+ (Distrito de Tasación)","Over-65 Homestead Tax Exemption (Appraisal District)","draft","Vivienda","2026-08-18","2026-08-18T17:42:12.179898+00:00"
