organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
"Bastrop County Emergency Food Pantry","Despensa de Emergencia del Condado de Bastrop","Bastrop County Emergency Food Pantry","Despensa de alimentos de emergencia para residentes del condado.","Emergency food pantry for county residents.","Alimentos de emergencia para residentes del condado de Bastrop en crisis; también ayuda a agendar citas para TANF, Medicaid, SNAP y otros programas de acción comunitaria.","Emergency food for Bastrop County residents in crisis; also helps schedule appointments for TANF, Medicaid, SNAP, and other community action programs.","","comida","","","","en","in_person","unknown","","","","","","","Lunes, miércoles y viernes, 8:00 a.m.–11:30 a.m. y 1:00 p.m.–3:30 p.m.; primer jueves, 4:00 p.m.–7:00 p.m.","Monday, Wednesday and Friday, 8:00–11:30 a.m. and 1:00–3:30 p.m.; first Thursday, 4:00–7:00 p.m.","","","Condado de Bastrop","Bastrop County","512-303-0033","","","","https://bastropfoodpantry.org","806 Fayette St","","Bastrop","TX","78602","Bastrop","","","https://www.centraltexasfoodbank.org/media/824/download","false","false","2026-08-18","Volante de referencia puede estar desactualizado (2016) — confirmar horario/fondos vigentes por teléfono. Origen: Recursos_Bastrop.csv, fila 2."
"Open Door Soup Kitchen","Cocina de Sopa Open Door","Open Door Soup Kitchen","Comidas preparadas para personas necesitadas en Bastrop.","Prepared meals for people in need in Bastrop.","Agencia asociada de Central Texas Food Bank que sirve comidas preparadas; detalles de elegibilidad no confirmados en fuente oficial.","Central Texas Food Bank partner agency serving prepared meals; eligibility details not confirmed from an official source.","","comida","","","","en","in_person","unknown","","","","","","","","","","","Condado de Bastrop","Bastrop County","512-317-7503","","","","https://business.bastropchamber.com/list/member/open-door-soup-kitchen-in-the-streets-hands-up-high-ministry-6299","987 TX Hwy 95","","Bastrop","TX","78602","Bastrop","","","https://www.cityofbastrop.org/page/winterweather2024","false","false","2026-08-18","PENDIENTE — confirmar teléfono, horario y elegibilidad por llamada directa. Origen: Recursos_Bastrop.csv, fila 3."
"Primera Baptist Church","Despensa de la Iglesia Primera Bautista (Bastrop)","Primera Baptist Church Food Pantry (Bastrop)","Iglesia hispana con despensa de alimentos y ropero comunitario.","Spanish-speaking church with food pantry and community clothing closet.","Despensa y ropero gratuitos abiertos dos sábados al mes en una congregación hispanohablante; requisitos de documentación no especificados.","Free pantry and clothing closet open two Saturdays a month at a Spanish-speaking congregation; documentation requirements not specified.","","comida","","","","es|en","in_person","free","","","","","","","1er y 3er sábado del mes, 7:00–10:00am","","","","Condado de Bastrop","Bastrop County","512-303-2082","","","","https://facebook.com/PrimeraBastrop","306 Paul C. Bell St","","Bastrop","TX","78602","Bastrop","","","https://www.centraltexasfoodbank.org/media/824/download","false","false","2026-08-18","Dirección varía levemente entre fuentes (306 vs 301 Paul Bell St) — confirmar antes de publicar. Origen: Recursos_Bastrop.csv, fila 4."
"Community Cupboard","Despensa Comunitaria (Community Cupboard) — Elgin","Community Cupboard — Elgin","Despensa de alimentos comunitaria en Elgin.","Community food pantry in Elgin.","Agencia asociada de Central Texas Food Bank en la porción de Elgin dentro del condado de Bastrop.","Central Texas Food Bank partner agency in the Bastrop County portion of Elgin.","","comida","","","","en","in_person","unknown","","","","","","","Martes, 10:00 a.m.–12:00 p.m.","Tuesday, 10:00 a.m.–12:00 p.m.","","","Condado de Bastrop","Bastrop County","512-797-0796","","","","https://www.elgincommunitycupboard.org/","303 N. Avenue C","","Elgin","TX","78621","Bastrop","","","https://www.elgincommunitycupboard.org/","false","false","2026-08-18","Elgin también se extiende al condado de Travis — confirmar que esta dirección cae del lado de Bastrop. Origen: Recursos_Bastrop.csv, fila 5."
"Sacred Heart Catholic Church","Despensa de la Iglesia Católica Sagrado Corazón (Elgin)","Sacred Heart Catholic Church Food Pantry (Elgin)","Despensa de alimentos de una parroquia católica en Elgin.","Catholic parish food pantry in Elgin.","Agencia asociada de Central Texas Food Bank; las parroquias católicas de la zona suelen atender en español, aunque no está confirmado explícitamente para este sitio.","Central Texas Food Bank partner agency; Catholic parishes in the area commonly serve Spanish speakers, though not explicitly confirmed for this site.","","comida","","","","es|en","in_person","unknown","","","","","","","Con cita previa.","By appointment.","","","Condado de Bastrop","Bastrop County","512-285-3882","","","","https://www.sacredheartofelgin.org/","302 West 11th St","","Elgin","TX","78621","Bastrop","","","https://www.bastropcares.org/wp-content/uploads/2025/10/Bastrop-County-Cares-Charitable-Food-Assistance-Directory-2025-2026.pdf","false","false","2026-08-18","Misma parroquia también opera un programa de asistencia financiera de San Vicente de Paúl (ver categoría Recursos Financieros). Origen: Recursos_Bastrop.csv, fila 6."
"First Baptist Church Elgin","Despensa de la Primera Iglesia Bautista de Elgin","First Baptist Church Elgin Food Pantry","Despensa de alimentos operada por una iglesia bautista en Elgin.","Food pantry run by a Baptist church in Elgin.","Agencia asociada de Central Texas Food Bank en Elgin; horario y elegibilidad exactos no confirmados en fuente oficial.","Central Texas Food Bank partner agency in Elgin; exact hours and eligibility not confirmed from an official source.","","comida","","","","en","in_person","unknown","","","","","","","","","","","Condado de Bastrop","Bastrop County","512-285-4161","","","","https://fbcelgin.org/","205 West 2nd St","","Elgin","TX","78621","Bastrop","","","https://www.centraltexasfoodbank.org/find-food-now","false","false","2026-08-18","PENDIENTE — confirmar horario y teléfono directamente. Origen: Recursos_Bastrop.csv, fila 7."
"Smithville Food Pantry","Despensa de Alimentos de Smithville","Smithville Food Pantry","Despensa de alimentos comunitaria que sirve a Smithville y alrededores.","Community food pantry serving Smithville and surrounding areas.","Agencia asociada de Central Texas Food Bank que sirve el área de Smithville dentro del condado de Bastrop.","Central Texas Food Bank partner agency serving the Smithville area within Bastrop County.","","comida","","","","en","in_person","unknown","","","","","","","Miércoles, 9:00 a.m.–11:30 a.m.","Wednesday, 9:00–11:30 a.m.","","","Condado de Bastrop","Bastrop County","512-237-2322","","","foodpantrysmithville@gmail.com","https://smithvillefoodpantry.org/","301 Lee Street","","Smithville","TX","78957","Bastrop","","","https://smithvillefoodpantry.org/contact-us/","false","false","2026-08-18","PENDIENTE — confirmar teléfono y horario llamando a Central Texas Food Bank (512-282-2111). Origen: Recursos_Bastrop.csv, fila 8."
"Friendship Bible Baptist Church / Community of Hope Inc.","Despensa Comunidad de Esperanza (Friendship Bible Baptist Church) — Cedar Creek","Community of Hope Food Pantry (Friendship Bible Baptist Church) — Cedar Creek","Despensa con programa especial para adultos mayores de 55+ en Cedar Creek.","Food pantry with a special program for adults 55+ in Cedar Creek.","Distribuye aproximadamente 20 libras de alimentos no perecederos al mes; el programa HOPE (55+) permite recogida por representante o entrega a domicilio. Se recomienda llamar antes de ir.","Distributes approximately 20 lbs of non-perishable food per month; the HOPE program (55+) allows proxy pickup or home delivery. Calling ahead is recommended.","","comida","","","","en","in_person|home_visit","unknown","","","","","","","3er miércoles/jueves 9–11am; 2do/4to miércoles 9–11am (solo programa HOPE); recogida/entrega HOPE 2do y 4to viernes","","","","Condado de Bastrop","Bastrop County","512-321-9040","","","","","111 Pearce Lane","","Cedar Creek","TX","78612","Bastrop","","","https://www.centraltexasfoodbank.org/find-food-now","false","false","2026-08-18","Verificado vía Texas Center for Local Food; sin sitio web propio confirmado. Origen: Recursos_Bastrop.csv, fila 9."
"Cedar Creek United Methodist Church","Despensa de la Iglesia Metodista Unida de Cedar Creek","Cedar Creek United Methodist Church Food Pantry","Despensa tipo ""drive-through"" de una iglesia metodista en Cedar Creek.","Drive-through food pantry at a Methodist church in Cedar Creek.","El personal carga los alimentos directamente en el vehículo; para necesidades fuera del horario regular, se puede llamar a la oficina de la iglesia.","Staff load food directly into vehicles; for needs outside regular hours, call the church office.","","comida","","","","en","in_person","unknown","","","","","","","2do y 4to miércoles del mes, 9:00am–12:00pm","","","","Condado de Bastrop","Bastrop County","512-303-1393","","","","https://cedarcreekumc.org/food-pantry","5630 FM 535","","Cedar Creek","TX","78621","Bastrop","","","https://cedarcreekumc.org/food-pantry","false","false","","Verificado directamente en el sitio oficial de la iglesia. Origen: Recursos_Bastrop.csv, fila 10."
"Central Texas Food Bank","Despensa Móvil de Cedar Creek (Central Texas Food Bank)","Cedar Creek Mobile Pantry (Central Texas Food Bank)","Distribución móvil mensual de alimentos en Cedar Creek.","Monthly mobile food distribution in Cedar Creek.","Sitio de distribución móvil operado por Central Texas Food Bank; sirve la comunidad de Cedar Creek dentro del condado de Bastrop.","Mobile distribution site operated by Central Texas Food Bank; serves the Cedar Creek community within Bastrop County.","","comida","","","","en","in_person","unknown","","","","","","","Fechas y horarios variables — consultar la herramienta ""Find Food Now"" en línea","","","","Condado de Bastrop","Bastrop County","512-282-2111","","","","https://centraltexasfoodbank.org/find-food","793 Union Chapel Rd","","Cedar Creek","TX","78612","Bastrop","","","https://centraltexasfoodbank.org/find-food","false","false","","Confirmar fecha exacta de la próxima distribución antes de referir a una familia. Origen: Recursos_Bastrop.csv, fila 11."
